Date : 2024-10-01 22:17:19
Directory : c:\Users\Alfredo\Downloads\NomiWise
Total : 102 files,  22139 codes, 49 comments, 1111 blanks, all 23299 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          4 |     12,278 |          0 |          4 |     12,282 |
| JavaScript JSX |         40 |      5,612 |         15 |        512 |      6,139 |
| CSS            |          5 |      2,365 |         26 |        354 |      2,745 |
| JavaScript     |         50 |      1,849 |          6 |        230 |      2,085 |
| Python         |          1 |         16 |          2 |          6 |         24 |
| HTML           |          1 |         14 |          0 |          1 |         15 |
| Markdown       |          1 |          5 |          0 |          4 |          9 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |        102 |     22,139 |         49 |      1,111 |     23,299 |
| client                                                                                       |         53 |     18,708 |         42 |        877 |     19,627 |
| client (Files)                                                                               |          7 |     10,730 |          1 |         11 |     10,742 |
| client\__mocks__                                                                             |          1 |          1 |          0 |          0 |          1 |
| client\src                                                                                   |         45 |      7,977 |         41 |        866 |      8,884 |
| client\src (Files)                                                                           |          4 |         66 |          0 |         18 |         84 |
| client\src\api                                                                               |          9 |         40 |          0 |         11 |         51 |
| client\src\api (Files)                                                                       |          1 |          6 |          0 |          2 |          8 |
| client\src\api\cargo                                                                         |          1 |          5 |          0 |          1 |          6 |
| client\src\api\contrato                                                                      |          1 |          2 |          0 |          1 |          3 |
| client\src\api\detalleLiquidacion                                                            |          1 |          3 |          0 |          1 |          4 |
| client\src\api\empleado                                                                      |          1 |          5 |          0 |          1 |          6 |
| client\src\api\nomina                                                                        |          1 |          2 |          0 |          1 |          3 |
| client\src\api\permiso                                                                       |          1 |          5 |          0 |          1 |          6 |
| client\src\api\rol                                                                           |          1 |          5 |          0 |          1 |          6 |
| client\src\api\usuario                                                                       |          1 |          7 |          0 |          2 |          9 |
| client\src\components                                                                        |         13 |      4,542 |          9 |        360 |      4,911 |
| client\src\context                                                                           |          9 |        468 |          0 |         74 |        542 |
| client\src\css                                                                               |          5 |      2,365 |         26 |        354 |      2,745 |
| client\src\pages                                                                             |          3 |        360 |          1 |         30 |        391 |
| client\src\routes                                                                            |          1 |         81 |          0 |          7 |         88 |
| client\src\test                                                                              |          1 |         55 |          5 |         12 |         72 |
| server                                                                                       |         49 |      3,431 |          7 |        234 |      3,672 |
| server (Files)                                                                               |          2 |      1,603 |          0 |          2 |      1,605 |
| server\src                                                                                   |         47 |      1,828 |          7 |        232 |      2,067 |
| server\src (Files)                                                                           |          4 |         61 |          3 |         17 |         81 |
| server\src\controllers                                                                       |          8 |        312 |          0 |         36 |        348 |
| server\src\database                                                                          |          1 |         10 |          0 |          1 |         11 |
| server\src\dtos                                                                              |          8 |        105 |          0 |          0 |        105 |
| server\src\libs                                                                              |          1 |         10 |          0 |          2 |         12 |
| server\src\middlewares                                                                       |          1 |         19 |          0 |          2 |         21 |
| server\src\models                                                                            |          8 |        391 |          0 |         36 |        427 |
| server\src\routes                                                                            |          8 |        102 |          4 |         28 |        134 |
| server\src\services                                                                          |          8 |        818 |          0 |        110 |        928 |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                     | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\Alfredo\Downloads\NomiWise\client\.eslintrc.cjs                                     | JavaScript     |         21 |          0 |          1 |         22 |
| c:\Users\Alfredo\Downloads\NomiWise\client\README.md                                         | Markdown       |          5 |          0 |          4 |          9 |
| c:\Users\Alfredo\Downloads\NomiWise\client\__mocks__\fileMock.js                             | JavaScript     |          1 |          0 |          0 |          1 |
| c:\Users\Alfredo\Downloads\NomiWise\client\index.html                                        | HTML           |         14 |          0 |          1 |         15 |
| c:\Users\Alfredo\Downloads\NomiWise\client\jest.config.js                                    | JavaScript     |         10 |          0 |          1 |         11 |
| c:\Users\Alfredo\Downloads\NomiWise\client\package-lock.json                                 | JSON           |     10,627 |          0 |          1 |     10,628 |
| c:\Users\Alfredo\Downloads\NomiWise\client\package.json                                      | JSON           |         48 |          0 |          1 |         49 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\App.jsx                                       | JavaScript JSX |         10 |          0 |          3 |         13 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\ProtectedRouteWithPermission.jsx              | JavaScript JSX |         22 |          0 |          8 |         30 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\ProtectedRoutes.jsx                           | JavaScript JSX |         26 |          0 |          5 |         31 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\api\axios.jsx                                 | JavaScript JSX |          6 |          0 |          2 |          8 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\api\cargo\cargoAuth.jsx                       | JavaScript JSX |          5 |          0 |          1 |          6 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\api\contrato\contratoAuth.jsx                 | JavaScript JSX |          2 |          0 |          1 |          3 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\api\detalleLiquidacion\detalleAuth.jsx        | JavaScript JSX |          3 |          0 |          1 |          4 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\api\empleado\empleadoAuth.jsx                 | JavaScript JSX |          5 |          0 |          1 |          6 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\api\nomina\nominaAuth.jsx                     | JavaScript JSX |          2 |          0 |          1 |          3 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\api\permiso\permisoAuth.jsx                   | JavaScript JSX |          5 |          0 |          1 |          6 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\api\rol\rolAuth.jsx                           | JavaScript JSX |          5 |          0 |          1 |          6 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\api\usuario\usuarioAuth.jsx                   | JavaScript JSX |          7 |          0 |          2 |          9 |
