Date : 2024-10-01 22:17:19
Directory : c:\Users\Alfredo\Downloads\NomiWise
Total : 102 files,  22139 codes, 49 comments, 1111 blanks, all 23299 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\components\Charts.jsx                         | JavaScript JSX |        514 |          4 |         55 |        573 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\components\Dashboard.jsx                      | JavaScript JSX |        557 |          0 |         33 |        590 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\components\frmCargo.jsx                       | JavaScript JSX |        236 |          0 |         17 |        253 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\components\frmEmpleado.jsx                    | JavaScript JSX |        336 |          0 |         24 |        360 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\components\frmLiquidacion.jsx                 | JavaScript JSX |        636 |          2 |         60 |        698 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\components\frmLiquidar.jsx                    | JavaScript JSX |        352 |          0 |         24 |        376 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\components\frmNomina.jsx                      | JavaScript JSX |        425 |          2 |         47 |        474 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\components\frmPermiso.jsx                     | JavaScript JSX |        378 |          0 |         22 |        400 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\components\frmREmpleado.jsx                   | JavaScript JSX |        216 |          0 |         13 |        229 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\components\frmRLiquidacion.jsx                | JavaScript JSX |        234 |          0 |         19 |        253 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\components\frmRUsuario.jsx                    | JavaScript JSX |        218 |          1 |         13 |        232 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\components\frmRol.jsx                         | JavaScript JSX |        238 |          0 |         17 |        255 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\components\frmUsuario.jsx                     | JavaScript JSX |        202 |          0 |         16 |        218 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\context\authContext.jsx                       | JavaScript JSX |         74 |          0 |          9 |         83 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\context\cargoContext.jsx                      | JavaScript JSX |         58 |          0 |         10 |         68 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\context\contratoContext.jsx                   | JavaScript JSX |         31 |          0 |          6 |         37 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\context\detalleLiquidacionContext.jsx         | JavaScript JSX |         42 |          0 |          6 |         48 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\context\empleadoContext.jsx                   | JavaScript JSX |         58 |          0 |         10 |         68 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\context\nominaContext.jsx                     | JavaScript JSX |         31 |          0 |          5 |         36 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\context\permisoContext.jsx                    | JavaScript JSX |         58 |          0 |         10 |         68 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\context\rolContext.jsx                        | JavaScript JSX |         58 |          0 |         10 |         68 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\context\usuarioContext.jsx                    | JavaScript JSX |         58 |          0 |          8 |         66 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\css\components.css                            | CSS            |      1,062 |         10 |        156 |      1,228 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\css\dashboard.css                             | CSS            |        702 |          9 |         90 |        801 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\css\loading.css                               | CSS            |        110 |          1 |         21 |        132 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\css\login.css                                 | CSS            |        156 |          3 |         25 |        184 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\css\menu.css                                  | CSS            |        335 |          3 |         62 |        400 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\main.jsx                                      | JavaScript JSX |          8 |          0 |          2 |         10 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\pages\inicio.jsx                              | JavaScript JSX |          0 |          0 |          1 |          1 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\pages\login.jsx                               | JavaScript JSX |         99 |          0 |          8 |        107 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\pages\menu.jsx                                | JavaScript JSX |        261 |          1 |         21 |        283 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\routes\Routes.jsx                             | JavaScript JSX |         81 |          0 |          7 |         88 |
| c:\Users\Alfredo\Downloads\NomiWise\client\src\test\LoginPage.test.jsx                       | JavaScript JSX |         55 |          5 |         12 |         72 |
| c:\Users\Alfredo\Downloads\NomiWise\client\vite.config.js                                    | JavaScript     |          5 |          1 |          2 |          8 |
| c:\Users\Alfredo\Downloads\NomiWise\server\package-lock.json                                 | JSON           |      1,575 |          0 |          1 |      1,576 |
| c:\Users\Alfredo\Downloads\NomiWise\server\package.json                                      | JSON           |         28 |          0 |          1 |         29 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\app.js                                        | JavaScript     |         32 |          1 |          8 |         41 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\config.js                                     | JavaScript     |          1 |          0 |          0 |          1 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\controllers\cargo.controllers.js              | JavaScript     |         47 |          0 |          4 |         51 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\controllers\contrato.controller.js            | JavaScript     |          9 |          0 |          2 |         11 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\controllers\detalleLiquidacion.controllers.js | JavaScript     |         20 |          0 |          2 |         22 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\controllers\empleado.controllers.js           | JavaScript     |         48 |          0 |          6 |         54 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\controllers\liquidacion.controllers.js        | JavaScript     |          9 |          0 |          1 |         10 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\controllers\permiso.controllers.js            | JavaScript     |         44 |          0 |          5 |         49 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\controllers\rol.controllers.js                | JavaScript     |         42 |          0 |          4 |         46 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\controllers\usuario.controllers.js            | JavaScript     |         93 |          0 |         12 |        105 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\database\database.js                          | JavaScript     |         10 |          0 |          1 |         11 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\dtos\cargo.dto.js                             | JavaScript     |          8 |          0 |          0 |          8 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\dtos\contrato.dto.js                          | JavaScript     |         11 |          0 |          0 |         11 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\dtos\detalleLiquidacion.dto.js                | JavaScript     |         25 |          0 |          0 |         25 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\dtos\empleado.dto.js                          | JavaScript     |         12 |          0 |          0 |         12 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\dtos\liquidacion.dto.js                       | JavaScript     |         22 |          0 |          0 |         22 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\dtos\permiso.dto.js                           | JavaScript     |          8 |          0 |          0 |          8 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\dtos\rol.dto.js                               | JavaScript     |          7 |          0 |          0 |          7 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\dtos\usuario.dto.js                           | JavaScript     |         12 |          0 |          0 |         12 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\index.js                                      | JavaScript     |         12 |          0 |          3 |         15 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\index.py                                      | Python         |         16 |          2 |          6 |         24 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\libs\jwt.js                                   | JavaScript     |         10 |          0 |          2 |         12 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\middlewares\usuario.middleware.js             | JavaScript     |         19 |          0 |          2 |         21 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\models\cargo.js                               | JavaScript     |         31 |          0 |          4 |         35 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\models\contrato.js                            | JavaScript     |         40 |          0 |          3 |         43 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\models\detalleLiquidacion.js                  | JavaScript     |         67 |          0 |          1 |         68 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\models\empleado.js                            | JavaScript     |         43 |          0 |          3 |         46 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\models\liquidacion.js                         | JavaScript     |         67 |          0 |          4 |         71 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\models\permiso.js                             | JavaScript     |         22 |          0 |          1 |         23 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\models\rol.js                                 | JavaScript     |         37 |          0 |          5 |         42 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\models\usuario.js                             | JavaScript     |         84 |          0 |         15 |         99 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\cargo.routes.js                        | JavaScript     |         14 |          0 |          3 |         17 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\contrato.routes.js                     | JavaScript     |          8 |          2 |          3 |         13 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\detalleLiquidacion.routes.js           | JavaScript     |         10 |          2 |          3 |         15 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\empleado.routes.js                     | JavaScript     |         14 |          0 |          3 |         17 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\liquidacion.routes.js                  | JavaScript     |          8 |          0 |          3 |         11 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\permiso.routes.js                      | JavaScript     |         14 |          0 |          3 |         17 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\rol.routes.js                          | JavaScript     |         14 |          0 |          3 |         17 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\usuario.routes.js                      | JavaScript     |         20 |          0 |          7 |         27 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\services\cargo.services.js                    | JavaScript     |         87 |          0 |          9 |         96 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\services\contrato.services.js                 | JavaScript     |         20 |          0 |          2 |         22 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\services\detalleLiquidacion.services.js       | JavaScript     |        209 |          0 |         29 |        238 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\services\empleado.services.js                 | JavaScript     |        165 |          0 |         28 |        193 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\services\liquidacion.services.js              | JavaScript     |         30 |          0 |          1 |         31 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\services\permiso.services.js                  | JavaScript     |         80 |          0 |         10 |         90 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\services\rol.services.js                      | JavaScript     |         89 |          0 |         13 |        102 |
| c:\Users\Alfredo\Downloads\NomiWise\server\src\services\usuario.services.js                  | JavaScript     |        138 |          0 |         18 |        156 |
| Total                                                                                        |                |     22,139 |         49 |      1,111 |     23,299 |
+----------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
